;101;102;103;104;105;106;107;108;109
1;0;2;2;7;2;4;2;1;2
2;0;0;0;0;0;0;0;0;0
3;1;6;6;19;6;10;6;2;6
4;1;5;5;15;5;8;5;2;5
5;1;4;4;13;4;7;4;1;4
6;0;1;1;2;1;1;1;0;1
7;1;3;3;9;3;5;3;1;3
8;1;4;4;12;4;7;4;1;4
9;0;1;1;3;1;1;1;0;1
10;0;2;2;7;2;4;2;1;2
11;0;0;0;0;0;0;0;0;0
12;1;5;5;16;5;9;5;2;5
13;1;3;3;10;3;6;3;1;3
14;1;5;5;14;4;7;5;1;5
15;1;4;4;13;4;7;4;1;4
16;0;2;2;5;1;3;2;0;2
17;0;2;2;5;1;2;2;0;2
18;1;3;3;8;2;4;3;1;3
19;1;3;3;8;3;4;3;1;3
20;0;2;2;6;2;3;2;1;2
21;1;6;6;18;5;10;6;2;6
22;1;4;4;13;4;7;4;1;4
23;0;0;0;0;0;0;0;0;0
24;1;3;3;9;3;5;3;1;3
25;1;3;3;10;3;5;3;1;3
26;0;2;2;7;2;4;2;1;2
27;0;1;1;4;1;2;1;0;1
28;1;4;4;12;4;6;4;1;4
29;0;2;2;5;2;3;2;1;2
30;0;2;2;6;2;3;2;1;2
31;1;3;3;8;2;4;3;1;3
32;0;2;2;7;2;4;2;1;2
33;9;43;43;128;38;68;43;13;43
34;0;2;2;5;1;3;2;0;2
35;0;2;2;7;2;4;2;1;2
36;1;3;3;10;3;5;3;1;3
37;1;3;3;9;3;5;3;1;3
38;1;3;3;9;3;5;3;1;3
39;1;3;3;8;2;4;3;1;3
40;0;2;2;5;1;3;2;0;2
41;0;2;2;5;2;3;2;1;2
42;0;0;0;0;0;0;0;0;0
43;0;0;0;0;0;0;0;0;0
44;0;0;0;0;0;0;0;0;0
45;3;17;17;50;15;27;17;5;17
46;0;0;0;0;0;0;0;0;0
47;2;10;10;29;9;15;10;3;10
48;0;0;0;0;0;0;0;0;0
49;1;4;4;11;3;6;4;1;4
50;1;4;4;11;3;6;4;1;4
51;1;4;4;11;3;6;4;1;4
52;1;4;4;11;3;6;4;1;4
53;1;4;4;11;3;6;4;1;4
54;1;4;4;11;3;6;4;1;4
55;1;4;4;11;3;6;4;1;4
